brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,flag_baseline,absolute_deviation,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
SUZUKI,WAGON R STINGRAY J STYLE,2015,800.0,AUTOMATIC,HYBRID,110000.0,NEGOMBO,2025-01-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,57.24545454545454,19,57.24545454545454,57.122727272727275,57.375,0.2522727272727252,56.74431818181819,57.75340909090909,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,ALTO,2007,650.0,AUTOMATIC,PETROL,198000.0,GALLE,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,24.0195,19,24.0195,23.9,24.0195,0.1195000000000021,23.720749999999995,24.198750000000004,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
PERODUA,VIVA ELITE,2011,1000.0,MANUAL,PETROL,154000.0,GALLE,2024-12-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,40.82627118644068,72,40.863135593220335,39.9375,42.25,2.3125,36.46875,45.71875,True,False,within_comparable_range,-0.090214336820919,False,0.090214336820919,False,False,False,,,,
HYUNDAI,EON,2017,800.0,MANUAL,PETROL,88000.0,COLOMBO,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,31.5,5,36.5,32.0,37.5,5.5,23.75,45.75,True,False,within_comparable_range,-13.6986301369863,False,13.6986301369863,False,False,False,,,,
NISSAN,TRAD SUNNY,1988,1300.0,MANUAL,PETROL,407000.0,MAWANELLA,2025-01-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,16.25,10,14.25,11.353125000000004,14.6625,3.3093749999999957,6.38906250000001,19.62656249999999,True,False,within_comparable_range,14.035087719298245,False,14.035087719298245,False,False,False,,,,
TOYOTA,PRIUS,2009,1500.0,AUTOMATIC,HYBRID,176000.0,COLOMBO,2025-01-02,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,83.5,5,83.5,83.5,83.5,0.0,83.5,83.5,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
MAZDA,FAMILIA,2000,1500.0,AUTOMATIC,PETROL,275000.0,GAMPAHA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,19.75,5,28.5,19.75,28.5,8.75,6.625,41.625,True,False,within_comparable_range,-30.70175438596491,False,30.70175438596491,False,False,False,,,,
HONDA,FIT,2014,1339.0,AUTOMATIC,PETROL,121000.0,PANADURA,2025-01-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,79.0,6,79.65,79.0,80.825,1.8250000000000028,76.26249999999999,83.5625,True,False,within_comparable_range,-0.8160703075957385,False,0.8160703075957385,False,False,False,,,,
TOYOTA,YARIS,2008,1300.0,AUTOMATIC,PETROL,187000.0,MATARA,2024-12-08,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,65.35416666666667,19,65.35416666666667,65.0,65.5,0.5,64.25,66.25,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,MARUTI,2011,800.0,MANUAL,PETROL,154000.0,MINUWANGODA,2025-02-03,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,19.9,37,20.034782608695647,19.5,20.4,0.8999999999999986,18.15,21.749999999999996,True,False,within_comparable_range,-0.6727430555555353,False,0.6727430555555353,False,False,False,,,,
TOYOTA,AQUA,2015,1490.0,AUTOMATIC,PETROL,110000.0,CHILAW,2025-01-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.1657894736842,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
NISSAN,DAYZ,2018,660.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2025-01-15,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,62.75,5,63.91666666666667,62.75,63.91666666666667,1.1666666666666714,60.99999999999999,65.66666666666669,True,False,within_comparable_range,-1.8252933507170868,False,1.8252933507170868,False,False,False,,,,
NISSAN,FB15,1999,1500.0,MANUAL,PETROL,286000.0,KEGALLE,2025-01-12,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,32.5,18,35.37352941176471,34.9125,36.375,1.4624999999999986,32.71875,38.568749999999994,True,True,price_below_comparable_range,-8.123389041323692,True,8.123389041323692,False,False,False,,,,
SUZUKI,WAGON R,2018,650.0,AUTOMATIC,PETROL,77000.0,POLONNARUWA,2025-01-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,69.56041666666667,47,69.56041666666667,69.5,69.56041666666667,0.0604166666666685,69.409375,69.65104166666667,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,VIOS S GRADE,2003,1500.0,AUTOMATIC,PETROL,242000.0,MAHARAGAMA,2025-01-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,48.75,6,48.25,47.925,48.6875,0.7625000000000028,46.78124999999999,49.83125,True,False,within_comparable_range,1.0362694300518136,False,1.0362694300518136,False,False,False,,,,
SUZUKI,ALTO,2015,800.0,MANUAL,PETROL,110000.0,KURUNEGALA,2024-12-09,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,32.8,161,33.02984496124031,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,-0.6958705422626951,False,0.6958705422626951,False,False,False,,,,
SUZUKI,WAGON R STINGRAY,2018,660.0,AUTOMATIC,HYBRID,77000.0,HOMAGAMA,2024-12-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,71.5,130,71.3560974390244,70.0,71.86250000000001,1.8625000000000111,67.20624999999998,74.65625000000003,True,False,within_comparable_range,0.2016682051573417,False,0.2016682051573417,False,False,False,,,,
