brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,HYBRID,132000.0,GALLE,2025-01-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,74.5,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,0.5771372641668566
TOYOTA,AQUA,2015,1499.0,AUTOMATIC,PETROL,110000.0,VAVUNIYA,2025-01-21,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.1657894736842,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,GALLE,2025-01-20,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,76.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,-1.278633714363173
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,DIVULAPITIYA,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,76.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,-1.278633714363173
TOYOTA,AQUA,2017,1660.0,AUTOMATIC,PETROL,88000.0,MATARA,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,6,88.25,88.25,88.25,0.0,88.25,88.25,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,PETROL,132000.0,KANDY,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,74.0725,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,PETROL,143000.0,MAHARAGAMA,2025-01-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,70.95,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,PETROL,121000.0,MALABE,2025-01-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,73.5,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,-4.5260470790222795
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,HYBRID,132000.0,KADAWATHA,2025-01-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,74.75,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,0.9146444361942622
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,HYBRID,110000.0,NITTAMBUWA,2025-01-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,87.5,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,-0.7551562546637491
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,MATARA,2025-01-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,70.0,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,-1.3389711064129708
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,PANNIPITIYA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,70.95,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,0.0
