brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,original_row_index,absolute_deviation,flag_baseline,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
TOYOTA,VIOS,2003,1499.0,AUTOMATIC,PETROL,242000.0,VEYANGODA,2025-01-30,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,35.75,17,47.0,45.0,48.45,3.450000000000003,39.824999999999996,53.62500000000001,True,True,price_below_comparable_range,-23.93617021276596,9074,23.93617021276596,True,True,True,False,,,,
TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,KATUNAYAKE,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,95.8125,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_above_comparable_range,99.609375,8460,99.609375,True,True,True,True,,,,
TOYOTA,PASSO,2017,1000.0,AUTOMATIC,PETROL,88000.0,GAMPAHA,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,18.0,5,74.5,70.5,77.9,7.400000000000006,59.39999999999999,89.00000000000001,True,True,price_below_comparable_range,-75.83892617449665,8467,75.83892617449665,True,True,True,True,,,,
MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,RATNAPURA,2025-02-04,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.14910714285714,12,8.625,7.0625,10.5625,3.5,1.8125,15.8125,True,True,price_above_comparable_range,98.8302277432712,2178,98.8302277432712,True,True,True,True,,,,
HONDA,GRACE,2016,1500.0,AUTOMATIC,HYBRID,99000.0,NITTAMBUWA,2025-01-06,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.74999999999997,11,110.0,106.75,113.25,6.5,97.0,123.0,True,True,price_below_comparable_range,-31.13636363636366,943,31.13636363636366,True,True,True,True,,,,
SUZUKI,SWIFT,2007,1500.0,AUTOMATIC,PETROL,198000.0,KADUWELA,2024-12-12,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,19.90625,9,50.5,39.0,51.0,12.0,21.0,69.0,True,True,price_below_comparable_range,-60.581683168316836,5597,60.581683168316836,True,True,True,True,,,,
MAZDA,DEMIO,2007,1000.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,9.95,8,49.0,47.8375,52.5625,4.725000000000001,40.75,59.650000000000006,True,True,price_below_comparable_range,-79.69387755102039,1507,79.69387755102039,True,True,True,True,,,,
TOYOTA,CARINA,1985,1450.0,MANUAL,PETROL,440000.0,MAWANELLA,2025-01-18,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,18.0,5,10.25,9.5,11.3125,1.8125,6.78125,14.03125,True,True,price_above_comparable_range,75.60975609756098,7631,75.60975609756098,True,True,True,True,,,,
MITSUBISHI,LANCER BOX,1981,1400.0,MANUAL,PETROL,484000.0,HAMBANTOTA,2024-12-15,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,6.0,13,10.9,9.95,11.95,2.0,6.949999999999999,14.95,True,True,price_below_comparable_range,-44.95412844036697,2224,44.95412844036697,True,True,True,True,,,,
TOYOTA,VIOS,2007,1500.0,AUTOMATIC,PETROL,198000.0,BANDARAGAMA,2025-01-17,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,35.75,10,61.25,54.975,62.6875,7.712499999999999,43.40625,74.25625,True,True,price_below_comparable_range,-41.63265306122449,9078,41.63265306122449,True,True,True,True,,,,
