listing_id,alert_rank,brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,condition,price,price_median,expected_price_low,expected_price_high,price_deviation_percentage,price_anomaly_direction,price_alert_reason,price_group_count,price_reference_quality,duplicate_record_count,duplicate_record_flag,review_priority
listing_08839,610,TOYOTA,PRIUS,2010,1716.0,AUTOMATIC,HYBRID,165000.0,DAMBULLA,2024-12-07,USED,87.0,85.25,85.25,85.25,2.0527859237536656,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,11,high,2,True,medium
listing_08753,611,TOYOTA,PRIUS,2010,1790.0,AUTOMATIC,HYBRID,165000.0,COLOMBO,2025-02-02,USED,87.0,85.25,85.25,85.25,2.0527859237536656,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,11,high,2,True,medium
listing_06463,612,SUZUKI,WAGON R STINGRAY J STYLE,2015,650.0,AUTOMATIC,PETROL,110000.0,NEGOMBO,2024-12-07,USED,58.395833333333336,57.24545454545454,57.122727272727275,57.375,2.0095548144619224,above_expected_range,above_expected_range; deviation_from_group_median=2.0%,19,high,2,True,medium
listing_06459,613,SUZUKI,WAGON R STINGRAY J STYLE,2015,660.0,AUTOMATIC,HYBRID,110000.0,AMPARA,2024-12-17,USED,58.395833333333336,57.24545454545454,57.122727272727275,57.375,2.0095548144619224,above_expected_range,above_expected_range; deviation_from_group_median=2.0%,19,high,2,True,medium
listing_04656,614,SUZUKI,ALTO JAPAN,2018,660.0,AUTOMATIC,HYBRID,77000.0,NUGEGODA,2025-01-04,USED,52.0,53.05625,52.724999999999994,53.1671875,-1.9908116385911152,below_expected_range,below_expected_range; deviation_from_group_median=-2.0%,12,high,1,False,medium
listing_04670,615,SUZUKI,ALTO JAPAN,2016,660.0,AUTOMATIC,PETROL,99000.0,NEGOMBO,2024-12-21,USED,51.5,52.54166666666667,52.54166666666667,52.54166666666667,-1.9825535289452905,below_expected_range,below_expected_range; deviation_from_group_median=-2.0%,17,high,1,False,medium
listing_08728,616,TOYOTA,PREMIO G SUPERIOR,2017,1500.0,AUTOMATIC,PETROL,88000.0,NAWALA,2024-12-21,USED,170.0,166.71428571428572,166.71428571428572,167.30357142857144,1.9708654670094208,above_expected_range,above_expected_range; deviation_from_group_median=2.0%,14,high,1,False,medium
listing_06020,617,SUZUKI,WAGON R FZ,2015,650.0,AUTOMATIC,HYBRID,110000.0,GALLE,2025-01-29,USED,56.5,55.41666666666667,55.41666666666667,55.5,1.954887218045104,above_expected_range,above_expected_range; deviation_from_group_median=2.0%,5,medium,1,False,medium
listing_09668,618,TOYOTA,YARIS,2011,1300.0,AUTOMATIC,PETROL,154000.0,KOTTAWA,2025-01-15,USED,71.5,72.92500000000001,72.92500000000001,72.92500000000001,-1.954062392869402,below_expected_range,below_expected_range; deviation_from_group_median=-2.0%,5,medium,1,False,medium
listing_01866,619,MICRO,PANDA,2016,1000.0,MANUAL,PETROL,99000.0,ANURADAPURA,2025-02-04,USED,27.0,27.53636363636364,27.35,27.56818181818182,-1.9478375701551751,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,15,high,1,False,medium
listing_01235,620,HYUNDAI,EON MAGNA PLUS,2015,814.0,MANUAL,PETROL,110000.0,GAMPAHA,2025-01-14,USED,36.7,36.0,35.9,36.1,1.9444444444444524,above_expected_range,above_expected_range; deviation_from_group_median=1.9%,5,medium,1,False,medium
listing_04583,621,SUZUKI,ALTO JAPAN,2015,650.0,AUTOMATIC,PETROL,110000.0,MALABE,2025-02-04,USED,50.5,51.5,51.5,51.5,-1.9417475728155336,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,6,medium,1,False,medium
listing_04617,622,SUZUKI,ALTO JAPAN,2015,650.0,AUTOMATIC,PETROL,110000.0,RATNAPURA,2025-01-29,USED,52.5,51.5,51.5,51.5,1.9417475728155336,above_expected_range,above_expected_range; deviation_from_group_median=1.9%,6,medium,1,False,medium
listing_07345,623,TOYOTA,AXIO,2014,1490.0,AUTOMATIC,HYBRID,121000.0,NEGOMBO,2024-12-26,USED,99.0,97.125,96.5,97.125,1.9305019305019304,above_expected_range,above_expected_range; deviation_from_group_median=1.9%,15,high,1,False,medium
listing_04223,624,SUZUKI,ALTO,2016,800.0,MANUAL,PETROL,99000.0,MORATUWA,2025-01-13,USED,33.75,34.41428571428572,34.41428571428572,34.575,-1.930261519302626,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,26,high,4,True,medium
listing_04099,625,SUZUKI,ALTO,2016,800.0,MANUAL,PETROL,99000.0,RATNAPURA,2025-02-05,USED,33.75,34.41428571428572,34.41428571428572,34.575,-1.930261519302626,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,26,high,4,True,medium
listing_04189,626,SUZUKI,ALTO,2016,800.0,MANUAL,PETROL,99000.0,MATARA,2025-01-29,USED,33.75,34.41428571428572,34.41428571428572,34.575,-1.930261519302626,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,26,high,4,True,medium
listing_04438,627,SUZUKI,ALTO,2016,800.0,MANUAL,PETROL,99000.0,MORATUWA,2024-12-13,USED,33.75,34.41428571428572,34.41428571428572,34.575,-1.930261519302626,below_expected_range,below_expected_range; deviation_from_group_median=-1.9%,26,high,4,True,medium
