brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason
AUSTIN,MINI COOPER,1969,1275.0,MANUAL,PETROL,616000.0,AMBALANGODA,2025-01-21,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,21.0,56,56,11000.0,4,616000.0,616000.0,616000.0,0.0,616000.0,616000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1980,1300.0,MANUAL,PETROL,495000.0,KANDY,2025-01-21,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.0,45,45,11000.0,3,495000.0,495000.0,495000.0,0.0,495000.0,495000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1997,1300.0,AUTOMATIC,PETROL,308000.0,KADUWELA,2025-01-19,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,30.0,28,28,11000.0,3,308000.0,308000.0,308000.0,0.0,308000.0,308000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1997,1300.0,AUTOMATIC,PETROL,308000.0,KADAWATHA,2025-01-04,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.0,28,28,11000.0,3,308000.0,308000.0,308000.0,0.0,308000.0,308000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1980,1000.0,MANUAL,PETROL,495000.0,GAMPAHA,2024-12-23,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,21.5,45,45,11000.0,3,495000.0,495000.0,495000.0,0.0,495000.0,495000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1970,1300.0,MANUAL,PETROL,605000.0,KANDY,2024-12-11,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,25.25,55,55,11000.0,1,605000.0,605000.0,605000.0,0.0,605000.0,605000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1969,1300.0,AUTOMATIC,PETROL,616000.0,MATARA,2024-12-04,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,28.5,56,56,11000.0,4,616000.0,616000.0,616000.0,0.0,616000.0,616000.0,False,False,0.0,within_comparable_range
AUSTIN,MORRIS MINI COOPER,1961,1275.0,MANUAL,PETROL,704000.0,KANDY,2025-01-31,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,38.0,64,64,11000.0,1,704000.0,704000.0,704000.0,0.0,704000.0,704000.0,False,False,0.0,within_comparable_range
BAJAJ,QUTE,2019,1500.0,MANUAL,PETROL,66000.0,KURUNEGALA,2025-02-04,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,9.75,6,6,11000.0,4,66000.0,66000.0,66000.0,0.0,66000.0,66000.0,False,False,0.0,within_comparable_range
BAJAJ,QUTE,2018,1500.0,MANUAL,PETROL,77000.0,NUWARA-ELIYA,2025-02-02,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,10.5,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range
