brand,model,year_of_manufacture,listing_count
TOYOTA,COROLLA 121,2000,8
HONDA,FIT GP5 S GRADE,2014,8
NISSAN,LEAF,2013,8
SUZUKI,SWIFT CENTER ANTENNA,2004,8
TOYOTA,ALLION 240,2004,7
TOYOTA,CE110,1996,7
TOYOTA,COROLLA 121,2001,7
TOYOTA,ALLION 240,2007,7
MICRO,TREND,2009,7
SUZUKI,SPACIA CUSTOM,2017,7
TOYOTA,AQUA S LIMITED,2012,7
NISSAN,N16,2001,7
TOYOTA,VITZ SAFETY EDITION 2,2018,7
HONDA,FIT GP1,2010,7
NISSAN,TRAD SUNNY,1989,7
SUZUKI,ALTO SPORT,2010,7
SUZUKI,WAGON R FZ,2016,7
TOYOTA,DX WAGON,1986,7
SUZUKI,WAGON R FZ PREMIUM,2018,7
TOYOTA,VITZ SAFETY,2016,7
SUZUKI,WAGON R PREMIUM,2018,7
MICRO,TREND,2010,7
PERODUA,BEZZA,2018,7
SUZUKI,WAGON R STINGRAY TURBO,2017,7
SUZUKI,CELERIO ZXI,2017,7
TOYOTA,AVANZA,2011,7
SUZUKI,SWIFT,2010,7
TOYOTA,VITZ KSP130,2015,7
TOYOTA,COROLLA 121,2006,7
NISSAN,FB14,1994,7
TOYOTA,AXIO G GRADE,2008,7
TOYOTA,PREMIO,2014,7
KIA,RIO,2000,7
DAIHATSU,MIRA,2017,7
CHEVROLET,CRUZE,2003,7
TOYOTA,AXIO,2010,7
TOYOTA,AXIO,2011,7
TOYOTA,AXIO,2013,7
SUZUKI,ALTO 800 LXI,2014,7
RENAULT,KWID RXT,2016,7
TOYOTA,YARIS,2006,7
TOYOTA,AXIO,2017,7
TOYOTA,PREMIO G SUPERIOR,2012,7
TOYOTA,AXIO 161,2013,7
SUZUKI,ALTO 800,2016,7
TOYOTA,ALLION 260,2013,7
SUZUKI,ALTO K10,2012,7
TOYOTA,IST,2007,7
HONDA,FIT,2014,6
SUZUKI,ALTO JAPAN,2007,6
SUZUKI,ALTO JAPAN,2015,6
SUZUKI,ESTILO,2012,6
TOYOTA,AQUA G,2013,6
